port_num,service,transport_protocol
7,Echo,"TCP, UDP"
19,CHARGEN,"TCP, UDP"
20,FTP-data,"TCP, SCTP"
21,FTP,"TCP, UDP, SCTP"
22,SSH/SCP/SFTP,"TCP, UDP, SCTP "
23,Telnet,TCP
25,SMTP,TCP
42,WINS Replication,"TCP, UDP"
43,WHOIS,"TCP, UDP"
49,TACACS,UDP
53,DNS,"TCP, UDP"
67,DHCP/BOOTP,UDP
68,DHCP/BOOTP,UDP
69,TFTP,UDP
70,Gopher,TCP
79,Finger,TCP
80,HTTP,"TCP, UDP, SCTP"
88,Kerberos,"TCP, UDP"
102,Microsoft Exchange ISO-TSAP,TCP
110,POP3,TCP
113,Ident,TCP
119,NNTP (Usenet),TCP
123,NTP,UDP
135,Microsoft RPC EPMAP,"TCP, UDP"
137,NetBIOS-ns,"TCP, UDP"
138,NetBIOS-dgm,"TCP, UDP"
139,NetBIOS-ssn,"TCP, UDP"
143,IMAP,"TCP, UDP"
161,SNMP-agents (unencrypted),UDP
162,SNMP-trap (unencrypted),UDP
177,XDMCP,UDP
179,BGP,TCP
194,IRC,UDP
201,AppleTalk,"TCP, UDP"
264,BGMP,"TCP, UDP"
318,TSP,"TCP, UDP"
381,HP Openview,"TCP, UDP"
383,HP Openview,"TCP, UDP"
389,LDAP,"TCP, UDP"
411,(Multiple uses),"TCP, UDP"
412,(Multiple uses) ,"TCP, UDP"
427,SLP,TCP
443,HTTPS (HTTP over SSL),"TCP, UDP, SCTP"
445,Microsoft DS SMB,"TCP, UDP"
464,Kerberos,"TCP, UDP"
465,"SMTP over TLS/SSL, SSM",TCP
497,Dantz Retrospect,"TCP, UDP"
500,IPSec / ISAKMP / IKE,UDP
512,rexec,TCP
513,rlogin,TCP
514,syslog,UDP
515,LPD/LPR,TCP
520,RIP,UDP
521,RIPng (IPv6),UDP
540,UUCP,TCP
548,AFP,TCP
554,RTSP,"TCP, UDP"
546,DHCPv6,"TCP, UDP"
547,DHCPv6,"TCP, UDP"
560,rmonitor,UDP
563,NNTP over TLS/SSL,"TCP, UDP"
587,SMTP,TCP
591,FileMaker,TCP
593,Microsoft DCOM,"TCP, UDP"
596,SMSD,"TCP, UDP"
631,IPP,TCP
636,LDAP over TLS/SSL,"TCP, UDP"
639,MSDP (PIM),TCP
646,LDP (MPLS),"TCP, UDP"
691,Microsoft Exchange,TCP
860,iSCSI,TCP
873,rsync,TCP
902,VMware Server,"TCP, UDP"
989,FTPS,TCP
990,FTPS,TCP
993,IMAP over SSL (IMAPS),TCP
995,POP3 over SSL (POP3S),"TCP, UDP"
